"","dataTime","cityName","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value"
"1","2018-03-25 11:00","강남구","0.006","0.7","0.020","0.033","119","102"
"2","2018-03-25 11:00","강동구","0.004","0.8","0.026","0.027","118","115"
"3","2018-03-25 11:00","강북구","0.005","0.9","0.026","0.046","159","110"
"4","2018-03-25 11:00","강서구","0.005","0.9","0.038","0.042","134","108"
"5","2018-03-25 11:00","관악구","0.004","0.9","0.035","0.033","114","102"
"6","2018-03-25 11:00","광진구","-","-","-","-","-","-"
"7","2018-03-25 11:00","구로구","0.004","0.6","0.032","0.031","128","110"
"8","2018-03-25 11:00","금천구","0.005","0.8","0.032","0.036","118","98"
"9","2018-03-25 11:00","노원구","0.006","0.9","0.028","0.039","122","98"
"10","2018-03-25 11:00","도봉구","0.007","1.0","0.027","0.039","127","92"
"11","2018-03-25 11:00","동대문구","0.008","0.9","0.019","0.048","134","112"
"12","2018-03-25 11:00","동작구","0.004","0.8","0.034","0.032","106","101"
"13","2018-03-25 11:00","마포구","-","-","-","-","-","-"
"14","2018-03-25 11:00","서대문구","0.005","1.0","0.022","0.041","129","114"
"15","2018-03-25 11:00","서초구","0.004","0.7","0.027","0.029","125","103"
"16","2018-03-25 11:00","성동구","0.006","0.8","0.025","0.027","139","122"
"17","2018-03-25 11:00","성북구","0.006","1.0","0.022","0.038","124","116"
"18","2018-03-25 11:00","송파구","0.005","0.8","0.031","0.035","103","84"
"19","2018-03-25 11:00","양천구","0.005","0.8","0.034","0.040","121","114"
"20","2018-03-25 11:00","영등포구","0.006","0.9","0.026","0.032","130","111"
"21","2018-03-25 11:00","용산구","0.003","0.8","0.025","0.039","137","132"
"22","2018-03-25 11:00","은평구","0.005","0.9","0.026","0.043","132","112"
"23","2018-03-25 11:00","종로구","0.008","1.1","0.028","0.041","116","85"
"24","2018-03-25 11:00","중구","0.004","0.9","0.018","0.047","117","92"
"25","2018-03-25 11:00","중랑구","0.006","1.0","0.022","0.027","122","98"
"26","2018-03-25 12:00","강남구","0.006","0.7","0.022","0.040","109","97"
"27","2018-03-25 12:00","강동구","0.005","0.8","0.034","0.031","109","101"
"28","2018-03-25 12:00","강북구","0.005","0.9","0.028","0.048","152","108"
"29","2018-03-25 12:00","강서구","0.005","0.9","0.048","0.039","136","108"
"30","2018-03-25 12:00","관악구","0.004","0.8","0.045","0.036","126","107"
"31","2018-03-25 12:00","광진구","-","-","-","-","-","-"
"32","2018-03-25 12:00","구로구","0.005","0.6","0.034","0.034","136","134"
"33","2018-03-25 12:00","금천구","0.006","0.8","0.042","0.034","132","105"
"34","2018-03-25 12:00","노원구","0.005","0.9","0.031","0.041","118","91"
"35","2018-03-25 12:00","도봉구","0.008","1.0","0.028","0.042","154","92"
"36","2018-03-25 12:00","동대문구","0.009","0.9","0.025","0.049","123","105"
"37","2018-03-25 12:00","동작구","0.004","0.8","0.035","0.037","101","94"
"38","2018-03-25 12:00","마포구","0.004","0.8","0.038","0.033","146","124"
"39","2018-03-25 12:00","서대문구","0.005","0.9","0.033","0.040","132","110"
"40","2018-03-25 12:00","서초구","0.004","0.7","0.027","0.036","139","105"
"41","2018-03-25 12:00","성동구","0.005","0.9","0.032","0.029","132","111"
"42","2018-03-25 12:00","성북구","0.006","1.0","0.024","0.043","121","111"
"43","2018-03-25 12:00","송파구","0.006","0.7","0.039","0.032","108","84"
"44","2018-03-25 12:00","양천구","0.005","0.8","0.042","0.039","116","108"
"45","2018-03-25 12:00","영등포구","0.006","0.9","0.032","0.034","131","108"
"46","2018-03-25 12:00","용산구","0.004","0.8","0.040","0.037","131","121"
"47","2018-03-25 12:00","은평구","0.005","0.8","0.032","0.042","128","108"
"48","2018-03-25 12:00","종로구","0.007","1.0","0.035","0.043","113","83"
"49","2018-03-25 12:00","중구","0.004","0.9","0.029","0.046","117","87"
"50","2018-03-25 12:00","중랑구","0.007","1.0","0.031","0.027","112","91"
"51","2018-03-25 13:00","강남구","0.006","0.7","0.023","0.044","115","105"
"52","2018-03-25 13:00","강동구","0.005","0.8","0.036","0.032","112","95"
"53","2018-03-25 13:00","강북구","0.004","0.9","0.033","0.050","153","104"
"54","2018-03-25 13:00","강서구","0.005","0.9","0.060","0.038","148","119"
"55","2018-03-25 13:00","관악구","0.004","0.8","0.051","0.035","142","122"
"56","2018-03-25 13:00","광진구","-","-","-","-","-","-"
"57","2018-03-25 13:00","구로구","0.006","0.6","0.050","0.026","159","148"
"58","2018-03-25 13:00","금천구","0.007","0.8","0.050","0.031","137","108"
"59","2018-03-25 13:00","노원구","0.005","0.9","0.033","0.044","117","92"
"60","2018-03-25 13:00","도봉구","0.008","0.9","0.031","0.044","149","92"
"61","2018-03-25 13:00","동대문구","0.008","0.8","0.034","0.046","118","98"
"62","2018-03-25 13:00","동작구","0.005","0.8","0.042","0.040","115","109"
